created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 11:37:52 +0000 2023;1718230598081560755;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  6:37pm jakarta rank 7 dunia. Semoga lbh rendah lagi polusi udaranya Jakarta ya guys 🙏🏻🇮🇩 https://t.co/Niyopnjafj";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718230598081560755
Sat Oct 28 10:11:30 +0000 2023;1718208864901042563;"Coba tanya Anies  Cak Imin Kritik Polusi Udara: Jakarta Masa Depannya Suram https://t.co/JOQjHntZgh";0;0;0;0;in;1007964017225166848;1718208864901042563;Yusuf51069839;https://twitter.com/Yusuf51069839/status/1718208864901042563
Sat Oct 28 09:20:09 +0000 2023;1718195939566112956;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  4:19pm jakarta rank 8 dunia. Durasi 16 jam polusi udara jakarta dlm keadaan tidak baik2 saja.. kejam pemerintahan Ri njiir 🇮🇩🤢 https://t.co/LULxBDGrMx";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718195939566112956
Sat Oct 28 09:16:10 +0000 2023;1718194940088582456;"selama menjadi pemimpin jakarta pak anies berkomitmen untuk mengurangi tingkat polusi udara dan mengedepankan penggunaan transportasi umum yang ramah lingkungan #AniesBerkomitmen";0;0;0;2;in;1505889795163430917;1718194940088582456;LatulZh;https://twitter.com/LatulZh/status/1718194940088582456
Sat Oct 28 09:06:43 +0000 2023;1718192560697647464;"Keluhannya badan demam, mendadak pilek dan batul (bapil), tambahan sakit lambung njiir. Emang biadab (bangsat) polusi udara jakarta 👎🏻";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718192560697647464
Sat Oct 28 09:05:51 +0000 2023;1718192340794552529;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  Warga jakarta di weekend ini mulai kembali banyak yg sakit akibat polusi udara tanpa henti dr senin hingga jumat. Terburuk hari kamis 24 jam merah 🤢 https://t.co/r4I9w8kLWj";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718192340794552529
Sat Oct 28 09:04:20 +0000 2023;1718191959481921701;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  4:03pm polusi jakarta msh terlihat dgn jelas. PM 2,5: 40 unt kemayoran saat ini.. https://t.co/o22Rnu72Wt";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718191959481921701
Sat Oct 28 08:38:50 +0000 2023;1718185542507217274;"Menampar diri sendiri dong mas bro... Capresmu kan mantan gubernurnya.  https://t.co/rmc0YN8ffS  Cak Imin menilai masa depan Jakarta suram karena adanya polusi udara. Tingginya kadar emisi di udara Jakarta menyebabkan anak-anak terjangkit ISPA.";0;0;0;0;in;616931632;1718185542507217274;Nugraha2067;https://twitter.com/Nugraha2067/status/1718185542507217274
Sat Oct 28 07:44:14 +0000 2023;1718171802827198514;"Sanksi tersebut diberikan sebagai salah satu upaya menekan penyebaran polusi udara di Jakarta. https://t.co/L27vJhsr0g";0;0;0;1;in;23343960;1718171802827198514;kompascom;https://twitter.com/kompascom/status/1718171802827198514
Sat Oct 28 07:14:47 +0000 2023;1718164391315837162;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  2:13pm jakarta rank 9 dunia. Polusi udara jakarta hari ini keadaannya buruk. Seburuk kinerja pemerintah Ri 🤢 dongo2 https://t.co/RarEfzZXRd";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718164391315837162
